Date,Open,High,Low,Close,Volume
11/27/2020,47.36,48.1,47.36,47.45,"15,921,420"
11/25/2020,47.03,47.18,46.57,47.05,"28,126,891"
11/24/2020,46.29,47.3,46.01,47.01,"33,901,168"
11/23/2020,45.48,46.21,45.45,46.06,"35,489,641"
11/20/2020,45.66,45.88,45.33,45.39,"24,199,279"
11/19/2020,44.92,45.67,44.7,45.62,"29,469,080"
11/18/2020,45.55,45.69,45.04,45.06,"32,817,922"
11/17/2020,45.75,46.12,45.41,45.53,"31,072,061"
11/16/2020,46.04,46.75,45.79,46.19,"36,306,289"
11/13/2020,44.99,45.58,44.97,45.46,"30,898,109"
11/12/2020,46.13,46.19,44.55,44.95,"42,909,922"
11/11/2020,45.9,46.46,45.86,46.35,"31,496,939"
11/10/2020,45.4,46.48,45.25,45.44,"39,224,461"
11/09/2020,46.64,47.35,45.54,45.6,"48,481,727"
11/06/2020,45.54,45.8,44.9,45.39,"36,233,680"
11/05/2020,46.15,46.38,45.53,45.68,"31,103,211"
11/04/2020,45.11,46.15,44.78,45.7,"34,748,152"
11/03/2020,44.73,45.46,44.7,44.85,"33,587,539"
11/02/2020,44.96,45.06,44.24,44.46,"33,856,738"
10/30/2020,44.1,44.8,43.61,44.28,"46,794,168"
10/29/2020,44.24,44.47,43.92,44.11,"36,796,801"
10/28/2020,44.89,45.29,44.2,44.25,"45,066,008"
10/27/2020,45.98,46.41,45.36,45.64,"50,130,520"
10/27/2020,45.98,46.41,45.36,45.64,"50,130,520"
10/26/2020,47.85,47.86,46.25,46.72,"54,161,289"
10/23/2020,48.35,48.67,47.66,48.2,"97,322,484"
10/22/2020,53.12,54.22,53.07,53.9,"41,522,738"
10/21/2020,53.14,54.07,52.82,53.5,"21,866,029"
10/20/2020,54.6,54.7,53.27,53.43,"27,224,900"
10/19/2020,54.47,56.23,53.84,54.58,"43,537,219"
10/16/2020,53.9,54.7,53.9,54.16,"23,421,391"
10/15/2020,52.75,53.98,52.62,53.85,"18,272,869"
10/14/2020,54.01,54.4,53.51,53.55,"21,885,109"
10/13/2020,54.27,54.29,53.62,53.83,"20,005,770"
