Date,Open,High,Low,Close,Volume
03/08/2021,85.92,86.69,84.94,85.11,"3,489,641"
03/05/2021,83.87,85.69,83.37,85.35,"3,512,748"
03/04/2021,83.42,84.4,81.44,82.8,"2,748,458"
03/03/2021,83.08,84.17,82.54,83.6,"2,964,530"
03/02/2021,83.0,83.57,82.14,82.71,"1,488,700"
03/01/2021,81.08,83.44,81.08,83.09,"2,342,773"
02/26/2021,80.68,83.19,80.0,81.07,"3,519,459"
02/25/2021,81.0,81.6,78.97,79.68,"2,835,297"
02/24/2021,80.79,81.92,80.41,81.69,"2,012,021"
02/23/2021,80.0,80.88,77.03,80.56,"2,556,837"
02/22/2021,80.67,81.98,79.54,80.77,"2,912,333"
02/19/2021,80.66,81.32,80.04,80.77,"1,657,406"
02/18/2021,78.72,80.53,78.17,79.69,"1,534,294"
02/17/2021,78.84,79.97,78.61,79.26,"1,821,494"
02/16/2021,80.77,80.91,78.47,79.44,"3,127,714"
02/12/2021,79.54,80.06,78.85,80.05,"1,772,625"
02/11/2021,79.84,80.12,77.85,79.5,"1,559,584"
02/10/2021,79.83,80.0,78.42,79.58,"4,867,665"
02/09/2021,79.3,79.93,78.8,79.59,"4,284,138"
02/08/2021,80.0,80.71,79.5,79.94,"5,005,635"
02/05/2021,79.5,80.08,79.19,79.61,"1,792,215"
02/04/2021,78.17,79.34,78.05,79.31,"1,492,027"
02/03/2021,76.75,78.33,76.75,77.75,"1,379,549"
02/02/2021,76.98,77.73,76.42,77.17,"4,084,336"
02/01/2021,73.65,74.72,72.7,73.95,"1,637,802"
01/29/2021,73.44,74.58,72.37,72.89,"1,885,844"
01/28/2021,73.84,75.19,72.88,73.92,"2,649,815"
01/27/2021,74.61,75.74,73.21,73.86,"2,857,668"
01/26/2021,76.0,76.49,74.95,76.04,"1,277,455"
01/25/2021,76.34,76.38,73.51,75.68,"1,361,614"
01/22/2021,75.81,76.18,75.03,75.94,"1,140,098"
01/21/2021,77.56,77.72,75.9,76.9,"2,418,662"
01/20/2021,75.94,77.18,74.92,77.05,"3,526,956"
01/19/2021,74.57,75.03,74.3,74.86,"2,482,662"
01/15/2021,73.15,74.9,72.87,74.26,"3,309,443"
01/14/2021,71.3,73.85,71.26,73.25,"4,386,783"
01/13/2021,74.75,74.98,70.18,71.23,"7,652,823"
