Date,Open,High,Low,Close,Volume
07/19/2021,236.51,238.5,234.31,237.55,"8,842,963"
07/16/2021,238.3,240.88,237.77,238.43,"7,288,104"
07/15/2021,241.22,242.03,235.82,237.58,"7,912,574"
07/14/2021,244.5,246.15,239.87,242.43,"6,375,745"
07/13/2021,242.29,247.16,241.68,244.02,"6,699,829"
07/12/2021,247.22,247.26,241.85,242.91,"5,604,490"
07/09/2021,245.59,248.0,244.09,245.06,"4,213,545"
07/08/2021,244.84,246.58,241.74,245.8,"5,159,623"
07/07/2021,253.0,253.5,247.86,248.44,"5,101,415"
07/06/2021,249.0,252.92,248.38,250.25,"5,590,223"
07/02/2021,246.92,248.96,245.84,248.2,"4,056,827"
07/01/2021,244.5,246.59,242.62,244.98,"3,899,605"
06/30/2021,245.48,246.63,243.5,244.27,"4,168,762"
06/29/2021,244.44,246.78,242.43,245.81,"3,871,917"
06/28/2021,244.21,247.59,243.6,244.57,"4,274,889"
06/25/2021,244.19,244.2,240.99,241.87,"15,409,270"
06/24/2021,243.35,247.69,242.7,243.77,"4,987,330"
06/23/2021,243.75,244.5,240.85,241.84,"4,482,408"
06/22/2021,243.8,244.72,240.89,243.11,"4,457,165"
06/21/2021,243.45,244.72,238.89,244.48,"5,895,120"
06/18/2021,241.85,246.01,241.06,242.78,"7,822,172"
06/17/2021,242.0,247.18,241.2,244.43,"5,170,176"
06/16/2021,242.0,245.01,239.48,242.39,"5,099,349"
06/15/2021,245.21,245.36,242.01,242.58,"5,135,289"
06/14/2021,240.7,246.64,240.48,246.26,"6,764,691"
06/11/2021,239.03,240.37,238.41,240.31,"4,624,184"
06/10/2021,236.0,240.29,235.15,240.19,"4,659,511"
06/09/2021,238.87,238.87,235.51,236.09,"3,350,916"
06/08/2021,238.8,241.79,235.67,236.42,"5,827,260"
06/07/2021,236.6,239.47,235.84,238.14,"3,510,776"
06/04/2021,231.63,237.89,231.52,237.48,"6,177,588"
06/03/2021,232.89,233.18,229.43,230.84,"5,109,029"
06/02/2021,234.4,238.29,233.9,234.62,"5,543,876"
06/01/2021,238.0,238.4,232.46,236.2,"8,103,888"
05/28/2021,239.22,243.5,237.83,238.1,"17,814,520"
05/27/2021,229.52,229.52,225.39,225.83,"15,344,060"
05/26/2021,228.48,230.24,228.29,229.68,"5,807,104"
05/25/2021,228.0,229.72,226.28,227.71,"6,256,329"
05/24/2021,225.0,227.6,224.21,226.99,"5,288,324"
05/21/2021,225.21,225.78,222.44,222.58,"4,913,623"
05/20/2021,222.98,226.83,222.36,223.78,"6,705,464"
05/19/2021,215.85,221.6,214.51,221.34,"8,092,067"
05/18/2021,215.44,217.35,213.79,214.33,"3,540,556"
05/17/2021,216.59,217.72,212.82,215.06,"3,811,563"
05/14/2021,214.19,218.27,214.15,217.66,"4,429,018"
05/13/2021,212.97,215.64,210.47,211.86,"5,337,992"
05/12/2021,213.34,213.37,209.0,210.54,"5,482,463"
05/11/2021,209.0,216.57,208.91,215.56,"6,097,853"
05/10/2021,215.5,215.96,213.23,213.89,"5,263,698"
05/07/2021,220.51,221.25,215.09,216.5,"5,774,748"
05/06/2021,215.81,218.28,213.5,218.05,"5,200,021"
05/05/2021,218.82,219.57,214.84,215.4,"4,205,781"
05/04/2021,221.67,222.0,214.36,217.18,"6,727,513"
05/03/2021,230.77,231.46,223.07,223.76,"5,835,707"
04/30/2021,232.8,234.5,229.52,230.32,"5,024,797"
04/29/2021,237.32,237.67,232.17,234.36,"4,140,803"
04/28/2021,235.0,238.33,233.53,236.88,"4,274,512"
04/27/2021,235.46,235.9,231.91,234.21,"3,445,222"
04/26/2021,234.04,235.8,232.42,235.46,"3,459,634"
04/23/2021,232.94,235.49,231.75,233.51,"5,448,503"
04/22/2021,230.0,233.89,229.01,231.35,"4,975,361"
04/21/2021,227.11,230.79,226.67,230.56,"4,024,031"
04/20/2021,230.0,231.45,226.89,227.96,"4,081,214"
04/19/2021,230.83,232.2,228.87,230.5,"4,257,749"
04/16/2021,234.0,234.0,229.89,231.91,"5,088,749"
04/15/2021,229.87,233.08,229.5,233.0,"5,073,856"
04/14/2021,232.85,233.14,227.66,228.02,"4,617,597"
04/13/2021,229.0,233.49,228.5,232.0,"5,397,052"
04/12/2021,229.52,229.85,227.15,228.76,"6,205,676"
04/09/2021,224.33,231.31,223.63,231.28,"7,319,270"
04/08/2021,223.0,225.71,222.45,224.45,"6,169,133"
04/07/2021,221.96,222.68,219.39,220.79,"4,403,436"
04/06/2021,219.82,221.55,218.25,221.09,"5,448,464"
04/05/2021,219.61,221.84,218.93,220.29,"5,553,185"
04/01/2021,213.6,218.93,213.37,218.72,"7,763,501"
03/31/2021,210.44,213.67,210.11,211.87,"6,837,964"
03/30/2021,208.64,211.29,207.36,210.0,"4,717,943"
03/29/2021,209.01,211.65,205.99,210.77,"5,686,945"
03/26/2021,205.64,209.41,204.77,209.09,"7,333,155"
03/25/2021,206.17,208.17,204.37,205.44,"7,977,209"
03/24/2021,215.13,215.28,209.41,209.53,"4,617,736"
03/23/2021,214.76,217.43,214.33,215.0,"4,578,046"
03/22/2021,211.48,216.98,211.37,215.17,"5,002,466"
03/19/2021,209.81,212.75,209.07,212.2,"7,088,442"
03/18/2021,210.7,211.38,208.4,209.48,"5,583,153"
03/17/2021,213.52,214.81,210.86,213.12,"5,805,143"
03/16/2021,214.84,216.69,213.48,214.48,"5,311,048"
03/15/2021,211.85,212.94,209.5,212.8,"5,741,240"
03/12/2021,213.45,213.85,209.3,212.21,"6,114,641"
03/11/2021,215.0,218.17,214.35,215.95,"6,430,984"
03/10/2021,214.72,216.15,211.77,211.96,"7,186,394"
03/09/2021,212.18,215.79,211.17,211.53,"9,732,242"
03/08/2021,213.62,214.9,207.57,207.72,"9,576,414"
03/05/2021,210.01,212.35,203.22,210.76,"11,405,950"
03/04/2021,206.84,209.09,201.51,205.33,"12,800,550"
03/03/2021,212.83,213.32,205.4,206.0,"11,459,020"
03/02/2021,218.4,218.6,213.34,213.47,"10,211,490"
03/01/2021,219.9,220.2,215.03,217.54,"14,027,680"
02/26/2021,229.39,230.5,216.34,216.5,"20,372,920"
02/25/2021,238.53,240.35,229.77,231.08,"8,828,937"
02/24/2021,235.53,241.5,231.51,240.47,"6,128,260"
02/23/2021,235.26,238.96,229.01,235.64,"8,641,607"
02/22/2021,244.26,244.52,240.38,240.95,"5,055,001"
02/19/2021,248.0,249.39,245.98,246.56,"4,647,670"
02/18/2021,245.97,248.01,242.57,247.01,"4,159,075"
02/17/2021,248.59,249.5,245.5,247.66,"5,907,885"
02/16/2021,245.0,251.23,243.8,248.59,"10,837,610"
02/12/2021,240.95,241.56,238.91,240.37,"4,314,439"
02/11/2021,238.93,242.89,238.58,241.24,"6,091,619"
02/10/2021,237.45,238.22,233.96,236.72,"5,535,571"
02/09/2021,239.56,240.08,236.24,236.7,"5,157,234"
02/08/2021,239.51,241.11,237.13,238.93,"4,336,360"
02/05/2021,239.15,239.36,236.41,238.89,"5,019,976"
02/04/2021,235.52,238.23,235.47,237.98,"4,770,722"
02/03/2021,235.0,236.0,232.26,234.82,"5,357,550"
02/02/2021,231.47,235.95,231.38,234.2,"7,134,891"
02/01/2021,227.21,229.9,224.75,228.46,"5,696,684"
01/29/2021,224.66,228.79,223.02,225.56,"6,472,983"
01/28/2021,225.0,229.6,225.0,226.5,"7,246,045"
01/27/2021,223.7,227.81,221.58,224.78,"7,641,060"
01/26/2021,227.8,227.91,224.54,226.26,"5,021,036"
01/25/2021,229.69,230.3,221.32,225.92,"8,213,455"
01/22/2021,224.9,227.79,223.75,225.77,"10,186,080"
01/21/2021,223.69,224.74,220.82,222.17,"6,800,810"
01/20/2021,221.99,224.64,219.97,223.44,"9,857,747"
01/19/2021,215.35,217.28,213.7,216.76,"7,753,752"
01/15/2021,216.17,217.87,212.99,213.14,"8,525,598"
01/14/2021,218.23,219.5,215.55,215.6,"6,548,025"
01/13/2021,217.0,218.9,215.53,218.18,"6,839,171"
01/12/2021,218.0,218.3,214.09,215.52,"10,735,960"
01/11/2021,219.63,220.58,216.23,218.25,"7,206,463"
01/08/2021,220.0,222.32,219.22,222.04,"7,301,710"
01/07/2021,217.03,220.66,216.5,217.98,"8,443,142"
01/06/2021,218.0,220.46,215.78,216.15,"9,789,849"
01/05/2021,219.49,223.0,217.99,221.52,"8,657,235"
01/04/2021,222.64,223.75,215.72,220.31,"10,319,920"
12/31/2020,222.27,222.79,220.17,222.53,"6,011,121"
12/30/2020,223.13,223.64,221.58,222.4,"4,724,009"
12/29/2020,224.97,225.3,220.86,222.46,"6,122,445"
12/28/2020,227.22,227.84,222.05,224.64,"6,422,513"
12/24/2020,228.3,229.19,224.83,225.78,"6,146,282"
12/23/2020,232.5,233.18,227.11,227.43,"7,090,526"
12/22/2020,227.0,231.87,226.6,231.17,"10,367,340"
12/21/2020,224.9,227.44,224.71,226.47,"9,219,003"
12/18/2020,227.02,227.82,224.4,227.43,"11,845,440"
12/17/2020,224.9,226.73,224.5,225.92,"9,946,888"
12/16/2020,221.48,224.0,220.25,223.62,"8,821,387"
12/15/2020,222.07,222.14,218.2,220.15,"10,775,830"
12/14/2020,223.09,223.47,220.45,221.27,"8,508,542"
12/11/2020,221.92,222.74,219.98,222.42,"8,214,441"
12/10/2020,220.57,224.31,220.16,222.92,"9,258,643"
12/09/2020,228.05,228.84,220.07,220.57,"15,651,840"
12/08/2020,228.65,229.5,225.66,227.86,"12,116,750"
12/07/2020,228.11,229.87,226.25,227.7,"12,864,070"
12/04/2020,223.82,228.6,221.82,225.86,"20,504,770"
12/03/2020,226.11,226.11,220.13,220.97,"21,395,320"
12/02/2020,225.48,226.0,215.63,220.78,"52,225,539"
12/01/2020,245.0,246.7,238.7,241.35,"19,349,100"
11/30/2020,245.48,247.63,236.07,245.8,"18,966,439"
11/27/2020,251.0,251.84,247.03,247.63,"7,395,034"
11/25/2020,263.73,266.1,245.05,246.82,"26,394,900"
11/24/2020,260.0,262.31,257.82,260.84,"5,802,107"
11/23/2020,261.23,261.74,254.61,257.64,"5,385,625"
11/20/2020,263.59,265.02,257.82,258.04,"7,289,605"
11/19/2020,256.84,267.09,255.66,264.65,"8,084,559"
11/18/2020,256.4,262.66,255.85,257.16,"5,880,543"
11/17/2020,253.74,258.27,250.46,256.17,"5,090,667"
11/16/2020,249.52,253.49,248.18,249.89,"5,712,565"
11/13/2020,252.84,253.79,247.56,249.51,"5,162,933"
11/12/2020,247.4,254.97,246.36,249.42,"5,612,679"
11/11/2020,253.51,256.74,251.21,254.18,"4,163,391"
11/10/2020,258.06,259.0,242.9,247.66,"6,863,193"
11/09/2020,260.95,270.92,257.25,259.28,"8,777,470"
11/06/2020,260.0,261.75,254.49,260.15,"3,798,638"
11/05/2020,258.11,260.92,255.44,260.22,"8,961,728"
11/04/2020,246.02,252.88,243.24,250.74,"6,505,415"
11/03/2020,235.1,240.94,233.28,237.13,"4,151,377"
11/02/2020,235.12,238.5,228.99,232.45,"3,953,394"
10/30/2020,235.82,237.75,228.66,232.27,"5,743,182"
10/29/2020,242.52,242.52,237.13,237.14,"4,588,957"
10/28/2020,244.6,245.45,238.01,238.43,"4,425,446"
10/27/2020,248.0,251.75,245.77,250.3,"4,285,593"
10/27/2020,248.0,251.75,245.77,250.3,"4,285,593"
10/26/2020,245.3,248.11,237.38,241.98,"5,864,144"
10/23/2020,250.1,250.57,246.81,250.52,"3,159,644"
10/22/2020,253.89,255.22,246.13,249.67,"3,688,499"
10/21/2020,256.45,258.31,251.85,254.23,"2,794,023"
10/20/2020,256.12,259.18,254.05,255.97,"2,989,655"
10/19/2020,259.76,261.48,254.5,255.01,"3,242,263"
10/16/2020,259.24,262.52,258.49,258.55,"3,098,043"
10/15/2020,258.11,260.52,254.02,257.72,"5,262,379"
10/14/2020,270.0,270.16,258.75,261.83,"5,133,096"
10/13/2020,266.42,268.79,264.23,266.83,"3,713,230"
10/12/2020,270.0,270.0,265.29,267.07,"4,317,010"
10/09/2020,262.9,266.05,261.5,265.98,"4,225,023"
10/08/2020,264.2,264.62,257.08,260.22,"4,150,423"
10/07/2020,252.2,260.74,252.2,259.98,"4,963,168"
10/06/2020,252.73,257.29,249.0,250.14,"4,448,122"
10/05/2020,250.0,253.28,249.0,251.53,"3,403,534"
10/02/2020,249.75,254.95,247.21,247.85,"4,494,464"
10/01/2020,253.18,254.67,250.81,253.45,"4,318,011"
09/30/2020,246.65,255.41,246.22,251.32,"8,188,533"
09/29/2020,245.26,247.9,244.5,247.45,"4,009,932"
09/28/2020,247.56,248.58,242.21,246.67,"4,088,330"
09/25/2020,237.39,243.95,235.05,242.74,"5,117,842"
09/24/2020,235.84,239.96,233.63,237.55,"4,166,772"
09/23/2020,248.49,248.77,235.35,235.99,"7,507,921"
09/22/2020,246.74,248.57,241.26,247.78,"3,600,779"
09/21/2020,238.97,245.13,236.8,245.05,"5,561,603"
09/18/2020,245.13,248.11,238.71,242.78,"6,595,560"
09/17/2020,246.12,248.82,241.31,244.53,"5,279,535"
09/16/2020,254.67,255.43,250.23,250.6,"5,443,037"
09/15/2020,251.37,251.94,248.51,251.68,"4,133,574"
09/14/2020,246.31,248.87,244.04,246.64,"4,255,201"
09/11/2020,250.72,251.3,239.45,243.1,"5,455,231"
09/10/2020,254.81,256.51,246.97,247.8,"5,944,965"
09/09/2020,246.4,253.45,242.96,250.43,"9,988,571"
09/08/2020,240.57,253.68,240.14,241.27,"15,229,590"
09/04/2020,262.98,265.67,243.2,254.7,"14,374,290"
09/03/2020,270.58,271.75,257.41,265.01,"14,000,570"
09/02/2020,283.47,284.5,268.57,276.69,"12,963,780"
09/01/2020,271.0,281.93,270.58,281.25,"13,303,240"
08/31/2020,270.0,274.71,265.91,272.65,"16,010,100"
08/28/2020,271.28,275.75,267.4,271.1,"28,067,961"
08/27/2020,267.0,278.28,260.84,276.32,"22,817,090"
08/26/2020,251.96,277.97,249.47,272.32,"63,253,352"
08/25/2020,213.22,218.35,210.8,216.05,"27,096,461"
08/24/2020,208.88,209.29,205.15,208.46,"5,698,981"
08/21/2020,209.94,210.0,206.25,207.53,"5,727,827"
08/20/2020,203.85,210.11,203.51,209.51,"5,175,146"
08/19/2020,204.0,207.1,200.03,205.11,"7,080,746"
08/18/2020,199.33,204.8,199.0,204.01,"7,284,820"
08/17/2020,195.34,197.07,194.42,196.74,"3,574,549"
08/14/2020,195.22,195.48,192.52,193.46,"2,833,235"
08/13/2020,193.32,198.07,193.23,195.14,"4,711,598"
08/12/2020,193.0,195.42,192.12,192.62,"3,982,152"
08/11/2020,193.62,195.84,191.72,191.99,"5,015,367"
08/10/2020,200.4,201.48,195.72,197.16,"5,528,192"
08/07/2020,206.62,206.94,198.58,201.05,"5,423,414"
08/06/2020,202.97,209.95,202.4,207.79,"5,113,305"
08/05/2020,202.8,203.9,201.58,202.64,"3,615,762"
08/04/2020,203.0,203.39,198.9,201.41,"4,438,519"
08/03/2020,197.8,204.79,196.57,203.19,"6,561,007"
07/31/2020,193.0,194.99,190.67,194.85,"3,734,611"
07/30/2020,190.09,191.92,187.37,191.7,"3,587,429"
07/29/2020,190.15,194.56,189.75,193.61,"3,747,754"
07/28/2020,191.0,192.97,189.05,189.5,"3,114,398"
07/27/2020,189.9,191.56,188.65,190.96,"3,015,701"
07/24/2020,186.06,188.94,184.38,188.49,"3,908,386"
07/23/2020,191.48,194.57,187.51,188.54,"3,639,519"
07/22/2020,190.78,191.87,188.87,191.31,"2,833,242"
07/21/2020,196.0,196.5,189.48,190.8,"5,377,815"
07/20/2020,187.9,195.31,187.27,195.09,"5,728,974"
07/17/2020,187.14,188.4,183.36,187.78,"4,325,636"
07/16/2020,186.42,186.86,181.93,185.51,"7,350,001"
07/15/2020,191.03,192.1,186.75,188.09,"7,681,765"
07/14/2020,185.99,189.96,183.3,189.56,"5,854,719"
07/13/2020,200.0,200.26,188.03,188.34,"5,555,350"
07/10/2020,200.06,200.73,197.08,198.88,"3,783,209"
07/09/2020,202.02,202.82,195.64,200.74,"6,062,761"
07/08/2020,198.0,201.2,197.35,200.28,"4,233,731"
07/07/2020,197.66,200.22,196.21,196.38,"5,431,497"
07/06/2020,194.44,199.45,193.84,197.72,"5,794,241"
07/02/2020,193.16,195.39,192.29,192.53,"4,200,292"
07/01/2020,188.1,192.82,187.46,191.89,"4,754,613"
06/30/2020,183.45,187.89,183.13,187.33,"4,478,900"
06/29/2020,183.32,183.71,180.0,183.33,"3,972,149"
06/26/2020,188.0,188.22,183.02,183.17,"7,595,666"
06/25/2020,186.14,188.77,184.44,188.34,"4,022,421"
06/24/2020,187.51,189.3,184.04,185.55,"4,903,134"
06/23/2020,192.0,194.09,188.59,189.06,"6,950,841"
06/22/2020,187.03,192.5,187.0,191.65,"6,252,237"
06/19/2020,189.5,191.25,185.49,186.95,"11,840,970"
06/18/2020,181.91,189.0,181.62,187.66,"8,677,753"
06/17/2020,180.97,182.75,180.68,181.4,"5,038,626"
06/16/2020,180.01,182.5,178.01,180.48,"5,825,189"
06/15/2020,172.0,178.9,171.27,178.61,"6,001,846"
06/12/2020,175.9,177.69,171.86,175.11,"5,443,819"
06/11/2020,176.64,178.43,172.0,172.05,"6,521,167"
06/10/2020,176.25,182.5,176.05,182.1,"8,127,243"
06/09/2020,176.0,176.0,173.53,174.56,"4,025,596"
06/08/2020,173.63,176.57,172.66,176.55,"4,592,583"
